,Base_Gallons,Beginning_Gallons,Lifted_Gallons,Execution_Date,Supplier,product_name,Account_Type,terminal_name,period,batchno,change
108,0.0,,0.0,2015-06-01 22:06:34,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BRECKSVILLE OH TERM,Daily,10,1
109,0.0,,0.0,2015-06-01 02:06:32,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHARLOTTE NC TERM,Daily,1,1
110,0.0,,0.0,2015-06-01 05:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHARLOTTE NC TERM,Daily,2,1
111,0.0,,0.0,2015-06-01 07:06:25,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHARLOTTE NC TERM,Daily,3,1
112,0.0,,0.0,2015-06-01 09:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHARLOTTE NC TERM,Daily,4,1
113,0.0,,0.0,2015-06-01 11:06:53,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHARLOTTE NC TERM,Daily,5,1
114,0.0,,0.0,2015-06-01 02:06:32,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,1,1
115,0.0,,0.0,2015-06-01 05:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,2,1
116,0.0,,0.0,2015-06-01 07:06:25,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,3,1
117,0.0,,0.0,2015-06-01 09:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,4,1
118,0.0,,0.0,2015-06-01 11:06:53,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,5,1
119,0.0,,0.0,2015-06-01 13:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,6,1
120,0.0,,0.0,2015-06-01 15:06:35,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,7,1
121,0.0,,0.0,2015-06-01 17:07:01,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,8,1
122,0.0,,0.0,2015-06-01 19:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,9,1
123,0.0,,0.0,2015-06-01 22:06:34,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CHATTANOOGA TN (CITGO) TERM,Daily,10,1
124,0.0,,0.0,2015-06-01 02:06:32,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,1,1
125,0.0,,0.0,2015-06-01 05:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,2,1
126,0.0,,0.0,2015-06-01 07:06:25,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,3,1
127,0.0,,0.0,2015-06-01 09:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,4,1
128,0.0,,0.0,2015-06-01 11:06:53,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,5,1
129,0.0,,0.0,2015-06-01 13:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,6,1
130,0.0,,0.0,2015-06-01 15:06:35,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,7,1
131,0.0,,0.0,2015-06-01 17:07:01,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,8,1
132,0.0,,0.0,2015-06-01 19:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,9,1
133,0.0,,0.0,2015-06-01 22:06:34,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,CITGO KNOXVILLE TERM,Daily,10,1
134,0.0,,0.0,2015-06-01 02:06:32,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,FRIENDSHIP NC TERM,Daily,1,1
135,0.0,,0.0,2015-06-01 05:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,FRIENDSHIP NC TERM,Daily,2,1
136,0.0,,0.0,2015-06-01 07:06:25,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,FRIENDSHIP NC TERM,Daily,3,1
137,0.0,,0.0,2015-06-01 09:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,FRIENDSHIP NC TERM,Daily,4,1
138,0.0,,0.0,2015-06-01 11:06:53,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,FRIENDSHIP NC TERM,Daily,5,1
139,0.0,,0.0,2015-06-01 19:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,LIMA OH TERM,Daily,9,1
140,0.0,,0.0,2015-06-01 22:06:34,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,LIMA OH TERM,Daily,10,1
141,0.0,,0.0,2015-06-01 02:06:32,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,1,1
142,0.0,,0.0,2015-06-01 05:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,2,1
143,0.0,,0.0,2015-06-01 07:06:25,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,3,1
144,0.0,,0.0,2015-06-01 09:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,4,1
145,0.0,,0.0,2015-06-01 11:06:53,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,5,1
146,0.0,,0.0,2015-06-01 13:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,6,1
147,0.0,,0.0,2015-06-01 15:06:35,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,7,1
148,0.0,,0.0,2015-06-01 17:07:01,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,8,1
149,0.0,,0.0,2015-06-01 19:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,9,1
150,0.0,,0.0,2015-06-01 22:06:34,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,MIDLAND PA TERM,Daily,10,1
151,0.0,,0.0,2015-06-01 02:06:32,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,1,1
152,0.0,,0.0,2015-06-01 05:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,2,1
153,0.0,,0.0,2015-06-01 07:06:25,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,3,1
154,0.0,,0.0,2015-06-01 09:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,4,1
155,0.0,,0.0,2015-06-01 11:06:53,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,5,1
156,0.0,,0.0,2015-06-01 13:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,6,1
157,0.0,,0.0,2015-06-01 15:06:35,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,7,1
158,0.0,,0.0,2015-06-01 17:07:01,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,8,1
159,0.0,,0.0,2015-06-01 19:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,9,1
160,0.0,,0.0,2015-06-01 22:06:34,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,10,1
161,0.0,,0.0,2015-06-01 02:06:32,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,1,1
162,0.0,,0.0,2015-06-01 05:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,2,1
163,0.0,,0.0,2015-06-01 07:06:25,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,3,1
164,0.0,,0.0,2015-06-01 09:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,4,1
165,0.0,,0.0,2015-06-01 11:06:53,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,5,1
